USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,combine_USAF_WBAN
722175,13860,ROBINS AFB AIRPORT,US,GA,KWRB,+32.633,-083.600,+0089.6,19420807,20180620,72217513860
722175,99999,ROBINS AFB,US,GA,KWRB,+32.633,-083.600,+0090.0,20000101,20071231,72217599999
722176,53884,NEWNAN COWETA COUNTY ARPT,US,GA,KCCO,+33.312,-084.770,+0295.7,20060101,20180620,72217653884
722176,99999,NEWNAN COWETA CO,US,GA,KCCO,+33.317,-084.767,+0296.0,19990114,20071231,72217699999
722180,03820,AUGUSTA REGIONAL AT BUSH FIELD AP,US,GA,KAGS,+33.364,-081.963,+0040.2,19480101,20180620,72218003820
722181,13837,DANIEL FIELD AIRPORT,US,GA,KDNL,+33.467,-082.039,+0128.9,20060101,20180620,72218113837
722181,99999,DANIEL FIELD,US,GA,KDNL,+33.467,-082.039,+0129.0,19420703,20071231,72218199999
722184,99999,PLAINS / PETERSON FIELD,US,GA,,+32.080,-084.370,+0160.0,19771221,19810122,72218499999
722185,53838,LEE GILMER MEMORIAL ARPT,US,GA,KGVL,+34.272,-083.830,+0388.6,20060101,20180620,72218553838
722185,99999,LEE GILMER MEM,US,GA,KGVL,+34.267,-083.833,+0389.0,19970718,20071231,72218599999
722190,13874,HARTSFIELD-JACKSON ATLANTA INTL AP,US,GA,KATL,+33.630,-084.442,+0307.9,19730101,20180620,72219013874
722195,03888,FULTON CO-BROWN FLD ARPT,US,GA,KFTY,+33.779,-084.521,+0256.0,20060101,20180620,72219503888
722195,99999,FULTON CO ARPT BROW,US,GA,KFTY,+33.767,-084.517,+0256.0,19730101,20071231,72219599999
722196,53863,DEKALB-PEACHTREE AIRPORT,US,GA,KPDK,+33.875,-084.302,+0305.4,20060101,20180620,72219653863
722196,99999,DEKALB PEACHTREE,US,GA,KPDK,+33.867,-084.300,+0306.0,19810801,20071231,72219699999
722197,53819,PCHTRE CTY-FALCON FLD ARPT,US,GA,KFFC,+33.355,-084.567,+0243.2,20060101,20180620,72219753819
722197,99999,PEACHTREE CITY FALCO,US,GA,KFFC,+33.357,-084.572,+0246.0,19960201,20071231,72219799999
722216,99999,NORTH AF AUX,US,SC,KXNO,+33.615,-081.084,+0097.8,20071024,20180618,72221699999
722217,63881,W H `BUD` BARRON AIRPORT,US,GA,KDBN,+32.564,-082.985,+0094.2,20060101,20180620,72221763881
722217,99999,W H BUD BARRON,US,GA,KDBN,+32.564,-082.985,+0094.0,20050628,20071231,72221799999
722250,13829,LAWSON AAF AIRPORT,US,GA,KLSF,+32.350,-085.000,+0070.7,19390501,20180620,72225013829
722250,99999,FORT BENNING,US,GA,KLSF,+32.333,-085.000,+0071.0,20000101,20071231,72225099999
722255,93842,COLUMBUS METRO AIRPORT,US,GA,KCSG,+32.516,-084.942,+0119.5,19480101,20180620,72225593842
722270,13864,DOBBINS AIR RESERVE BASE AIRPORT,US,GA,KMGE,+33.917,-084.517,+0325.5,19460901,20180620,72227013864
722270,99999,MARIETTA/DOBBINS AF,US,GA,KMGE,+33.917,-084.517,+0326.0,20000101,20071231,72227099999
722273,99999,ATLANTA (NAVRES),US,GA,,+33.917,-084.517,+0326.0,20030712,20030712,72227399999
722691,00366,CLAXTON EVANS COUNTY AIRPORT,US,GA,KCWV,+32.200,-081.870,+0034.1,20130101,20180620,72269100366
722691,99999,CLAXTON EVANS CO,US,GA,KCWV,+32.195,-081.870,+0034.1,20080107,20180515,72269199999
722692,00367,WARRENTON FAUQUIER AIRPORT,US,VA,KHWY,+38.586,-077.711,+0103.0,20130101,20180620,72269200367
722692,99999,WARRENTON,US,VA,KHWY,+38.583,-077.717,+0102.7,20080115,20180515,72269299999
722781,99999,HENRY CO,US,TN,KPHT,+36.338,-088.383,+0176.8,20140530,20180619,72278199999
723075,13769,OCEANA NAS,US,VA,KNTU,+36.817,-076.033,+0007.0,19730101,20180620,72307513769
723077,99999,NORFOLK / CHESAPEAK,US,VA,,+36.900,-075.720,+0023.0,19750916,19840107,72307799999
723078,99999,MARKS MUNI,US,VA,,+36.596,-078.560,+0128.3,19890918,19900206,72307899999
723080,13737,NORFOLK INTERNATIONAL AIRPORT,US,VA,KORF,+36.903,-076.192,+0009.1,19730101,20180620,72308013737
723083,13763,FRANKLIN MUNICIPAL-JOHN BEVERLY ROSE AIRPORT,US,VA,KFKN,+36.698,-076.903,+0012.5,19941016,20180620,72308313763
723083,99999,FRANKLIN MUNI JB ROS,US,VA,KFKN,+36.698,-076.904,+0012.0,20000101,20031231,72308399999
723084,93775,HANOVER CO MUNICIPAL ARPT,US,VA,KOFP,+37.708,-077.434,+0062.5,20170510,20180620,72308493775
723084,99999,HANOVER CO MUNI,US,VA,KOFP,+37.709,-077.437,+0063.0,19860620,20180516,72308499999
723085,13750,NORFOLK NAS,US,VA,KNGU,+36.937,-076.289,+0005.2,19730101,20180620,72308513750
723086,93741,NWPT NEWS/WIMBURG INTL APT,US,VA,KPHF,+37.132,-076.493,+0012.8,20000101,20180620,72308693741
723086,99999,NEWPORT NEWS WILLIA,US,VA,KPHF,+37.133,-076.483,+0013.0,19730101,19991231,72308699999
723087,93735,FELKER ARMY AIRFIELD,US,VA,KFAF,+37.133,-076.600,+0003.7,19601101,20180620,72308793735
723087,99999,FELKER AAF,US,VA,KFAF,+37.133,-076.609,+0004.0,20000103,20071231,72308799999
723089,13755,CHINCOTEAGUE,US,VA,K0W8,+37.933,-075.383,+0002.0,19821019,19960630,72308913755
723098,93798,CULPEPER REGIONAL AIRPORT,US,VA,KCJR,+38.527,-077.859,+0096.3,20060101,20180620,72309893798
723098,99999,CULPEPER RGNL,US,VA,KCJR,+38.533,-077.867,+0096.0,19730623,20071231,72309899999
723100,13883,COLUMBIA METROPOLITAN AIRPORT,US,SC,KCAE,+33.942,-081.118,+0068.6,19420424,20180620,72310013883
723104,53867,COLUMBIA OWENS DOWNTOWN AP,US,SC,KCUB,+33.971,-080.996,+0064.6,20060101,20180620,72310453867
723104,99999,COLUMBIA OWENS APT,US,SC,KCUB,+33.967,-080.983,+0059.0,19790513,20071231,72310499999
723105,03858,MCENTIRE AIR NATIONAL GUARD STATION,US,SC,KMMT,+33.967,-080.800,+0077.4,20060104,20180620,72310503858
723105,93833,MC ENTIRE JNGB,US,SC,KMMT,+33.921,-080.801,+0077.0,19590206,19991231,72310593833
723105,99999,MC ENTIRE JNGB,US,SC,KMMT,+33.921,-080.801,+0077.0,20000103,20071229,72310599999
723106,13744,FLORENCE REGIONAL AIRPORT,US,SC,KFLO,+34.185,-079.724,+0044.5,19730101,20180620,72310613744
723107,00371,SANTEE COOPER REGIONAL AIRPORT,US,SC,KMNI,+33.587,-080.209,+0031.1,20150224,20180620,72310700371
